Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Views,Likes,Comments,Stream,EnergyLiveness,Album_type_compilation,Album_type_single,Licensed_False,Licensed_True,official_video_False,official_video_True,most_playedon_Youtube,Artist,Track,Album,Channel,Cluster
0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,4.92555,Coldplay - Fix You (Official Video),566239229.0,2962029.0,114460.0,1115171056.0,3.690265486725664,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,5122.0,11466.0,1057.0,3
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4.140216666666666,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,32310867.0,956073.0,19646.0,844698895.0,8.029702970297029,0.0,1.0,1.0,0.0,1.0,0.0,0.0,424.0,5519.0,3986.0,5899.0,3
0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,5.339283333333333,Daft Punk - One More Time (Official Video),432177586.0,2707992.0,110189.0,471747761.0,2.0993975903614457,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,10964.0,2799.0,1213.0,0
0.775,0.585,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,5.626,Daft Punk - Instant Crush (Video) ft. Julian Casablancas,606828966.0,3111505.0,87115.0,460589724.0,7.597402597402597,0.0,0.0,0.0,1.0,0.0,1.0,1.0,424.0,7239.0,8177.0,1214.0,3
0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,6.16045,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,32310867.0,956073.0,19646.0,400304719.0,11.013888888888893,0.0,0.0,1.0,0.0,1.0,0.0,0.0,424.0,5518.0,8177.0,5899.0,3
0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,7.158883333333334,Daft Punk - Around The World (Official Music Video Remastered),38218353.0,466569.0,11904.0,293417547.0,8.774834437086094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,1214.0,4561.0,1213.0,1
0.817,0.716,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,3.744883333333333,"Daft Punk - Harder, Better, Faster, Stronger (Official Video)",121308880.0,1329678.0,70754.0,292668007.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,6013.0,2799.0,1213.0,3
0.875,0.475,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,3.877783333333333,Daft Punk - Something About Us (Official Video),77464307.0,723914.0,23915.0,185381876.0,10.326086956521738,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,13672.0,2799.0,1213.0,0
0.832,0.659,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,5.898216666666666,Daft Punk - Lose Yourself to Dance (Official Version),195983803.0,1115598.0,37436.0,274711166.0,8.751660026560424,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,8793.0,8177.0,1214.0,0
0.605,0.687,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,5.753116666666667,Daft Punk - Veridis Quo (Official Video),23984070.0,216822.0,7260.0,90589464.0,6.605769230769232,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,16143.0,2799.0,1213.0,2
0.644,0.664,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,5.022883333333334,Daft Punk - Digital Love (Official Video),30079390.0,203063.0,8957.0,115484456.0,1.9415204678362568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,424.0,3809.0,2799.0,1213.0,1
0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,3.6146666666666665,In The End [Official HD Music Video] - Linkin Park,1487186392.0,10183387.0,409471.0,1444841705.0,4.133971291866029,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1090.0,7185.0,4654.0,2991.0,3
0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,3.0931166666666665,Numb [Official Music Video] - Linkin Park,1928733776.0,12341722.0,550921.0,1195213410.0,1.350547730829421,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1090.0,10684.0,6417.0,2991.0,0
0.623,0.93,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,3.426883333333333,What I've Done [Official Music Video] - Linkin Park,587927093.0,3370635.0,148741.0,589294152.0,6.739130434782608,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,16605.0,6498.0,2991.0,2
0.687,0.793,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,3.4288833333333333,Numb/Encore [Live] - Linkin Park & Jay Z,44436981.0,226771.0,9260.0,778880225.0,1.3625429553264603,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1090.0,10685.0,7127.0,2991.0,0
0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,2.622216666666666,One Step Closer [Official HD Music Video] - Linkin Park,154808291.0,1102031.0,33750.0,447287242.0,12.312579415501904,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,10972.0,4654.0,2991.0,0
0.554,0.978,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,2.71,Faint [Official Music Video] - Linkin Park,378323695.0,2061834.0,65731.0,413355749.0,13.378932968536253,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,4881.0,6417.0,2991.0,3
0.529,0.967,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,2.772883333333333,Bleed It Out [Official Music Video] - Linkin Park,135176149.0,762715.0,27609.0,388331061.0,1.5852459016393443,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,1969.0,6498.0,2991.0,1
0.524,0.939,-3.994,0.113,0.00022,0.0,0.623,0.661,150.184,3.0811166666666665,Papercut [Official HD Music Video] - Linkin Park,240834555.0,1400306.0,50003.0,345142662.0,1.507223113964687,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,11266.0,4654.0,2991.0,0
0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,3.482666666666667,Crawling [Official HD Music Video] - Linkin Park,374506972.0,2197293.0,96490.0,391929621.0,1.3097014925373134,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,3211.0,4654.0,2991.0,1
0.585,0.972,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,3.83755,BURN IT DOWN [Official Music Video] - Linkin Park,353135986.0,2534190.0,113567.0,368132993.0,13.748231966053748,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1090.0,1431.0,5442.0,2991.0,1
0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,3.977333333333333,Radiohead - Creep,763497849.0,4777393.0,147276.0,1101854725.0,3.333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,3236.0,7467.0,4239.0,1
0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,3.818666666666666,Radiohead - No Surprises,167847274.0,1274934.0,40034.0,379349681.0,3.47787610619469,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,10536.0,7179.0,4239.0,0
0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4.401116666666667,Radiohead - Karma Police,89246405.0,593396.0,17682.0,382823305.0,2.912790697674419,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1524.0,7730.0,7179.0,4239.0,3
